imprint_id,imprint_name
1134,Bard Press
1135,Jossey Bass/Wiley
1136,Abbi Glines
1137,Katy Evans
1138,Nichole Chase
1139,"Ward, H.M."
1140,Paige Weaver
1141,B&H Publishing Group
1142,The Indie Voice
1143,Katie Ashley
1144,W. W. Norton & Company
1145,A Shannon Ravenel Book
1146,"Reagan Arthur/Back Bay/Little, Brown"
1147,Sourcebooks Casablanca
1148,Random House Publishers
1149,Shelly Crane
1150,A. Meredith Walters
1151,Entangled Publishing
1152,Life Changing Books
1153,Images Comics
1154,Elisabeth Naughton
1155,Courtney Cole
1156,Kensington Publishing
1157,Marata Eros
1158,J. Lynn
1159,Shanora Williams
1160,Byliner
1161,The New York Times/Byliner
1162,Tom Doherty
1163,Michael Di Capua/ HarperCollins
1164,Orchard/Scholastic
1165,Tor/Tom Doherty Associates
1166,Jossey-Bass/Wiley
1167,Harvard Business Review Press
1168,Addison Moore
1169,HarperCollins Voyager
1170,Urban Books
1171,Harper Paperbacks
1172,Pengun Group
1173,Book View Cafe
1174,Hudson Street
1175,New Harvest/Houghton Mifflin Harcourt
1176,Atria/Beyond Words
1177,Tor Books
1178,Broadway Business
1179,"Picador/Farrar, Straus & Giroux"
1180,M. Leighton
1181,J.A. Redmerski
1182,John Macrae/Holt
1183,NAL Accent
1184,Sylvia Day
1185,7YY
1186,HMH
1187,Harper Business/ HarperCollins
1188,Houghton Mifflin Harcourt Publishers
1189,L.D. Davis
1190,Raine Miller Romance
1191,Kate Dawes
1192,Samhain Publishing
1193,Open Road Integrated Media
1194,Alan Sepinwall
1195,Various publishers and prices.
1196,Laurann Dohner
1197,Cora Carmack
1198,R.L. Mathewson
1199,Ellora’s Cave Publishing
1200,"Little, Brown Book Group Limited"
1201,MTV Books/Gallery Books
1202,"Disney-Hyperion, hardcover and paper"
1203,"Scholastic, hardcover and paper"
1204,"Amulet, hardcover only"
1205,"Aladdin, hardcover only"
1206,"St. Martin’s, hardcover and paper"
1207,"Houghton Mifflin, hardcover; Laurel-Leaf, paper"
1208,"Simon & Schuster, hardcover and paper"
1209,"Hyperion, hardcover and paper"
1210,Broad Reach Publishing
1211,Bethany House Publishers
1212,Regnery Publishing
1213,Signet Select
1214,"Sourcebooks, Inc."
1215,Teresa Mummert
1216,Multnomah
1217,Mercury Ink/Simon Pulse
1218,"Houghton Mifflin, hardcover and paper"
1219,"Harper/HarperCollins, hardcover and paper"
1220,Games Workshop
1221,Entangled Select
1222,"Scholastic, Incorporated"
1223,MTV Books/Pocket Books
1224,"Delacorte, hardcover and paper"
1225,"Little, Brown, hardcover and paper"
1226,"HarperCollins, hardcover and paper; Andrews McMeel, paper"
1227,Agate
1228,Sydney Landon
1229,Perseus Books Group
1230,Omnific Publishing
1231,Guidepost Books
1232,W.W. Norton & Company
1233,Knopf Doubleday Publishers
1234,Simon Pulse/Emily Bestler Books/Atria
1235,"Abrams, hardcover only"
1236,"Stepping Stone/Random House, hardcover and paper"
1237,"HarperTeen, hardcover and paper"
1238,Vanguard
1239,SmileyBooks
1240,Broadside Books
1241,Ecco/HarperCollins Publishers
1242,Portfolio/Penguin Group
1243,Tammara Webber
1244,Chelsea Green
1245,Tyndale House Publishers
1246,"McElderry/Simon & Schuster, hardcover and paper"
1247,"HarperCollins, hardcover and paper"
1248,Tracey Garvis-Graves
1249,Tom Doherty/Forge
1250,Arabesque
1251,Hyperion Books
1252,2000 AD
1253,Digital Manga Publishing
1254,Imagine!
1255,"Dutton, hardcover; Puffin, paper"
1256,Berkeley
1257,Riverhead Trade
1258,"HarperCollins, hardcover; Andrews McMeel, paper"
1259,"Megan Tingley/Little, Brown, hardcover and paper"
